ID      ROI                                           RED BLUE GREEN A
2142    7Networks_RH_Cont_PFCl_2                      233 148 28  0
2143    7Networks_RH_Cont_PFCl_3                      233 148 29  0
2144    7Networks_RH_Cont_PFCl_4                      233 148 30  0
2145    7Networks_RH_Cont_PFCl_5                      233 148 31  0
2146    7Networks_RH_Cont_PFCl_6                      233 148 32  0
2147    7Networks_RH_Cont_PFCl_7                      233 148 34  0
2148    7Networks_RH_Cont_PFCl_8                      233 148 36  0
2149    7Networks_RH_Cont_PFCl_9                      233 148 37  0
2150    7Networks_RH_Cont_PFCl_10                     233 148 38  0
2151    7Networks_RH_Cont_PFCl_11                     233 148 39  0
2152    7Networks_RH_Cont_PFCl_12                     233 148 40  0
2153    7Networks_RH_Cont_PFCl_13                     233 149 33  0
2154    7Networks_RH_Cont_PFCl_14                     233 149 34  0
2155    7Networks_RH_Cont_PFCl_15                     233 149 35  0
2156    7Networks_RH_Cont_pCun_1                      233 147 35  0
2157    7Networks_RH_Cont_pCun_2                      233 147 36  0
2158    7Networks_RH_Cont_Cing_1                      233 147 34  0
2159    7Networks_RH_Cont_Cing_2                      233 147 37  0
2160    7Networks_RH_Cont_PFCmp_1                     234 148 37  0
2161    7Networks_RH_Cont_PFCmp_2                     234 148 38  0
2162    7Networks_RH_Default_Par_1                    209 62  76  0
2163    7Networks_RH_Default_Par_2                    209 62  78  0
2164    7Networks_RH_Default_Par_3                    209 62  79  0
2165    7Networks_RH_Default_Par_4                    209 62  80  0
2166    7Networks_RH_Default_Par_5                    209 62  81  0
2167    7Networks_RH_Default_Temp_1                   209 61  76  0
2168    7Networks_RH_Default_Temp_2                   209 61  77  0
2169    7Networks_RH_Default_Temp_3                   209 61  79  0
2170    7Networks_RH_Default_Temp_4                   209 61  80  0
2171    7Networks_RH_Default_Temp_5                   209 61  81  0
2172    7Networks_RH_Default_Temp_6                   209 61  82  0
2173    7Networks_RH_Default_Temp_7                   209 61  83  0
2174    7Networks_RH_Default_Temp_8                   209 61  84  0
2175    7Networks_RH_Default_PFCv_1                   209 61  78  0
2176    7Networks_RH_Default_PFCv_2                   209 62  77  0
2177    7Networks_RH_Default_PFCv_3                   209 62  82  0
2178    7Networks_RH_Default_PFCv_4                   209 62  83  0
2179    7Networks_RH_Default_PFCdPFCm_1               208 62  73  0
2180    7Networks_RH_Default_PFCdPFCm_2               208 62  74  0
2181    7Networks_RH_Default_PFCdPFCm_3               208 62  75  0
2182    7Networks_RH_Default_PFCdPFCm_4               208 62  76  0
2183    7Networks_RH_Default_PFCdPFCm_5               208 62  77  0
2184    7Networks_RH_Default_PFCdPFCm_6               208 62  79  0
2185    7Networks_RH_Default_PFCdPFCm_7               208 62  80  0
2186    7Networks_RH_Default_PFCdPFCm_8               208 62  81  0
2187    7Networks_RH_Default_PFCdPFCm_9               208 62  82  0
2188    7Networks_RH_Default_PFCdPFCm_10              208 62  83  0
2189    7Networks_RH_Default_PFCdPFCm_11              208 62  84  0
2190    7Networks_RH_Default_PFCdPFCm_12              208 62  85  0
2191    7Networks_RH_Default_PFCdPFCm_13              208 63  78  0
2192    7Networks_RH_Default_pCunPCC_1                208 62  78  0
2193    7Networks_RH_Default_pCunPCC_2                208 63  77  0
2194    7Networks_RH_Default_pCunPCC_3                208 63  79  0
2195    7Networks_RH_Default_pCunPCC_4                208 63  80  0
2196    7Networks_RH_Default_pCunPCC_5                208 63  81  0
2197    7Networks_RH_Default_pCunPCC_6                208 63  82  0
2198    7Networks_RH_Default_pCunPCC_7                208 63  83  0
2199    7Networks_RH_Default_pCunPCC_8                208 63  84  0
2200    7Networks_RH_Default_pCunPCC_9                208 64  77  0
