ID      ROI                                           RED BLUE GREEN A
1150    7Networks_LH_Default_Temp_2                   205 62  73  0
1151    7Networks_LH_Default_Temp_3                   205 62  74  0
1152    7Networks_LH_Default_Temp_4                   205 62  75  0
1153    7Networks_LH_Default_Temp_5                   205 62  76  0
1154    7Networks_LH_Default_Temp_6                   205 62  77  0
1155    7Networks_LH_Default_Temp_7                   205 62  78  0
1156    7Networks_LH_Default_Temp_8                   205 62  80  0
1157    7Networks_LH_Default_Temp_9                   205 62  81  0
1158    7Networks_LH_Default_Temp_10                  205 62  82  0
1159    7Networks_LH_Default_Par_1                    205 62  83  0
1160    7Networks_LH_Default_Par_2                    205 62  84  0
1161    7Networks_LH_Default_Par_3                    205 62  85  0
1162    7Networks_LH_Default_Par_4                    205 62  86  0
1163    7Networks_LH_Default_Par_5                    205 63  79  0
1164    7Networks_LH_Default_Par_6                    205 63  80  0
1165    7Networks_LH_Default_Par_7                    205 63  81  0
1166    7Networks_LH_Default_PFC_1                    205 63  71  0
1167    7Networks_LH_Default_PFC_2                    205 63  72  0
1168    7Networks_LH_Default_PFC_3                    205 63  73  0
1169    7Networks_LH_Default_PFC_4                    205 63  74  0
1170    7Networks_LH_Default_PFC_5                    205 63  75  0
1171    7Networks_LH_Default_PFC_6                    205 63  76  0
1172    7Networks_LH_Default_PFC_7                    205 63  77  0
1173    7Networks_LH_Default_PFC_8                    205 63  82  0
1174    7Networks_LH_Default_PFC_9                    205 63  83  0
1175    7Networks_LH_Default_PFC_10                   205 63  84  0
1176    7Networks_LH_Default_PFC_11                   205 63  85  0
1177    7Networks_LH_Default_PFC_12                   205 64  78  0
1178    7Networks_LH_Default_PFC_13                   205 64  79  0
1179    7Networks_LH_Default_PFC_14                   205 64  80  0
1180    7Networks_LH_Default_PFC_15                   205 64  81  0
1181    7Networks_LH_Default_PFC_16                   205 64  82  0
1182    7Networks_LH_Default_PFC_17                   205 64  83  0
1183    7Networks_LH_Default_PFC_18                   205 64  84  0
